occid,catalognumber,family,sciname,cleanedname,eventdate,island,locality,decimalLatitude,decimallongitude,coordinateUncertaintyInMeters
36302,125851,Amastridae,Amastra micans,Amastra micans,1934-01-21,Oahu,Waianae Mountains; Ekahanui; Valley I; Loc. 2 = W410 F-7,21.438264,-158.092424,50
36728,126277,Amastridae,Amastra micans,Amastra micans,1934-02-04,Oahu,Waianae Mountains; Huliwai; Loc. 7 = W400 A-10,21.452138,-158.094508,75
36729,126278,Amastridae,Amastra micans,Amastra micans,1934-02-04,Oahu,Waianae Mountains; Huliwai; Loc. 7 = W400 A-10,21.452138,-158.094508,75
36679,126228,Amastridae,Amastra micans,Amastra micans,1934-02-04,Oahu,Waianae Mountains; Huliwai; Loc. 6 = W400 A-9,21.452248,-158.093676,50
36680,126229,Amastridae,Amastra micans,Amastra micans,1934-02-04,Oahu,Waianae Mountains; Huliwai; Loc. 6 = W400 A-9,21.452248,-158.093676,50
36681,126230,Amastridae,Amastra micans,Amastra micans,1934-02-04,Oahu,Waianae Mountains; Huliwai; Loc. 6 = W400 A-9,21.452248,-158.093676,50
36583,126132,Amastridae,Amastra micans,Amastra micans,1934-02-04,Oahu,Waianae Mountains; Huliwai; Loc. 3 = W400 A-3,21.452376,-158.092172,50
36584,126133,Amastridae,Amastra micans,Amastra micans,1934-02-04,Oahu,Waianae Mountains; Huliwai; Loc. 3 = W400 A-3,21.452376,-158.092172,50
36585,126134,Amastridae,Amastra micans,Amastra micans,1934-02-04,Oahu,Waianae Mountains; Huliwai; Loc. 3 = W400 A-3,21.452376,-158.092172,50
36793,126342,Amastridae,Amastra micans,Amastra micans,1934-02-11,Oahu,Waianae Mountains; Huliwai; Loc. 1 = W400 A-9,21.452248,-158.093676,50
36794,126343,Amastridae,Amastra micans,Amastra micans,1934-02-11,Oahu,Waianae Mountains; Huliwai; Loc. 1 = W400 A-9,21.452248,-158.093676,50
36795,126344,Amastridae,Amastra micans,Amastra micans,1934-02-11,Oahu,Waianae Mountains; Huliwai; Loc. 1 = W400 A-9,21.452248,-158.093676,50
36796,126345,Amastridae,Amastra micans,Amastra micans,1934-02-11,Oahu,Waianae Mountains; Huliwai; Loc. 1 = W400 A-9,21.452248,-158.093676,50
36840,126389,Amastridae,Amastra micans,Amastra micans,1934-02-11,Oahu,Waianae Mountains; Huliwai; Loc. 2 = W400 A-8,21.452444,-158.09363,50
36899,126425,Amastridae,Amastra micans,Amastra micans,1934-02-11,Oahu,Waianae Mountains; Huliwai; Loc. 5 = W400 A-12,21.452944,-158.094767,50
36900,126426,Amastridae,Amastra micans,Amastra micans,1934-02-11,Oahu,Waianae Mountains; Huliwai; Loc. 5 = W400 A-12,21.452944,-158.094767,50
36901,126427,Amastridae,Amastra micans,Amastra micans,1934-02-11,Oahu,Waianae Mountains; Huliwai; Loc. 5 = W400 A-12,21.452944,-158.094767,50
36851,126400,Amastridae,Amastra micans,Amastra micans,1934-02-11,Oahu,Waianae Mountains; Huliwai; Loc. 3 = W400 A-7,21.45296,-158.093756,50
36935,126461,Amastridae,Amastra micans,Amastra micans,1934-02-11,Oahu,Waianae Mountains; Huliwai; Loc. 6 = W400 A-13,21.453457,-158.09453,50
36936,126462,Amastridae,Amastra micans,Amastra micans,1934-02-11,Oahu,Waianae Mountains; Huliwai; Loc. 6 = W400 A-13,21.453457,-158.09453,50
